שם תחנה,מספר תחנה,תאריך,"כמות גשם יומית(מ""מ)",קוד גשם יומי()
גמלא מאוישת                                       ,2493330,19/01/2021,32.4,7
גן השומרון                                        ,130850,19/01/2021,20,7
גן שלמה                                           ,138250,19/01/2021,31.9,0
גן שמואל                                          ,131002,19/01/2021,19.5,0
גת                                                ,142303,19/01/2021,38.4,0
גת מאוישת                                         ,142302,19/01/2021,39.3,0
גזית                                              ,216101,19/01/2021,18.7,0
גשר                                               ,321250,19/01/2021,16.5,0
גברעם                                             ,142898,19/01/2021,37.9,0
גבים                                              ,143750,19/01/2021,47,5
גבולות                                            ,252200,19/01/2021,13.1,5
גלגל                                              ,323403,19/01/2021,10.3,0
גלגל מאוישת                                       ,323402,19/01/2021,11,0
גיניגר                                            ,220550,19/01/2021,16.2,0
גינוסר                                            ,320099,19/01/2021,24.4,0
גיתית                                             ,241296,19/01/2021,28,0
גבעת ברנר                                         ,138401,19/01/2021,28.4,0
גבעת עוז                                          ,221751,19/01/2021,24.2,0
חדרה נמל                                          ,130970,19/01/2021,12.4,0
חדרה תחנת הכח                                     ,130981,19/01/2021,9.9,0
חפץ חיים                                          ,138946,19/01/2021,29.6,0
חפץ חיים מאוישת                                   ,138947,19/01/2021,29.5,5
הגושרים                                           ,310191,19/01/2021,44.6,0
חיפה נמל מאוישת                                   ,120202,19/01/2021,22,0
חיפה בתי זיקוק                                    ,111510,19/01/2021,24.6,0
חיפה טכניון                                       ,120530,19/01/2021,53.4,0
חיפה אוניברסיטה                                   ,120629,19/01/2021,56.4,0
חיפה אוניברסיטה מאוישת                            ,120630,19/01/2021,56.5,5
הכפר הירוק                                        ,134840,19/01/2021,18.3,0
חמדיה                                             ,230601,19/01/2021,14.2,0
חניתה                                             ,210502,19/01/2021,53.8,0
האון                                              ,320350,19/01/2021,14.8,0
הר חרשה                                           ,241960,19/01/2021,55.5,0
הררית                                             ,213119,19/01/2021,40.3,0
חרשים                                             ,212171,19/01/2021,40.2,0
חרשים מאוישת                                      ,212168,19/01/2021,44.7,0
הרדוף                                             ,213775,19/01/2021,25.5,0
חי בר כרמל                                        ,120570,19/01/2021,56.3,0
היוגב                                             ,221252,19/01/2021,11.5,0
חצור אשדוד                                        ,140249,19/01/2021,30.5,0
הזורעים                                           ,214202,19/01/2021,14,0
הזורע                                             ,220901,19/01/2021,21,0
הרצליה ב'                                         ,134110,19/01/2021,33,0
חורשים                                            ,134804,19/01/2021,31,0
חולה שמורה                                        ,311070,19/01/2021,17.8,0
חולדה                                             ,243150,19/01/2021,41.2,0
חוקוק                                             ,212950,19/01/2021,28.2,0
חורפיש                                            ,211251,19/01/2021,22,0
חורפיש מרכז                                       ,211253,19/01/2021,30.3,5
אכסאל                                             ,215701,19/01/2021,22,7
איתמר                                             ,241260,19/01/2021,25.4,0
איתמר מאוישת                                      ,241181,19/01/2021,34.1,0
ג'ת                                               ,131282,19/01/2021,22.8,0
ירושלים מרכז                                      ,244731,19/01/2021,34.5,0
ירושלים גבעת רם                                   ,245782,19/01/2021,30.1,0
ירושלים רמות                                      ,243530,19/01/2021,40,5
ירושלים סט. אן                                    ,244850,19/01/2021,37.5,0
כברי                                              ,211100,19/01/2021,16.5,5
כאוכב                                             ,213221,19/01/2021,37,5
כרמי צור                                          ,247680,19/01/2021,41.9,0
כרמל                                              ,248360,19/01/2021,25,5
כרמל מטעים                                        ,251013,19/01/2021,21.3,0
כרמייה                                            ,142802,19/01/2021,21,0
"כפר ביל""ו                                         ",138280,19/01/2021,35.5,0
כפר בלום                                          ,310552,19/01/2021,35.1,0
כפר עציון                                         ,247370,19/01/2021,46.3,0
כפר גדעון                                         ,220981,19/01/2021,11.1,0
כפר גלעדי                                         ,210160,19/01/2021,55.2,0
כפר גלעדי מאוישת                                  ,210151,19/01/2021,50.2,0
כפר גליקסון                                       ,122097,19/01/2021,23.7,0
כפר המכבי                                         ,111650,19/01/2021,34,0
כפר הנשיא                                         ,311501,19/01/2021,29.8,0
כפר הרואה                                         ,131502,19/01/2021,16,0
כפר חסידים                                        ,111800,19/01/2021,30,5
כפר הס                                            ,133500,19/01/2021,47.6,0
כפר חיטים                                         ,213451,19/01/2021,23.4,0
כפר מסריק                                         ,111001,19/01/2021,27.6,0
כפר מנחם                                          ,140852,19/01/2021,34.1,0
כפר נחום                                          ,311656,19/01/2021,25.7,0
כפר נחום מאוישת                                   ,311655,19/01/2021,26,0
כפר פינס                                          ,130502,19/01/2021,25.2,0
כפר ראש הנקרה                                     ,110050,19/01/2021,31.2,0
כפר רופין                                         ,321701,19/01/2021,20,0
כפר שמריהו                                        ,134101,19/01/2021,35,7
כפר סומיע                                         ,211472,19/01/2021,27,0
כפר סאלד                                          ,310351,19/01/2021,34,0
כפר תפוח                                          ,241361,19/01/2021,36.8,0
כפר ורבורג                                        ,140950,19/01/2021,34,0
כפר יחזקאל                                        ,230050,19/01/2021,16,7
כפר יהושע                                         ,220300,19/01/2021,19.9,0
"כרם מהר""ל                                         ",121142,19/01/2021,41.6,5
כנרת מושבה                                        ,320405,19/01/2021,15.8,0
כנרת קבוצה                                        ,320448,19/01/2021,13.2,0
כיסופים                                           ,144604,19/01/2021,22.3,5
כוכב הירדן                                        ,216255,19/01/2021,20.1,0
כוכב השחר                                         ,241861,19/01/2021,22.6,0
להב                                               ,248396,19/01/2021,24.6,0
להב מאוישת                                        ,248397,19/01/2021,24.1,0
להבות הבשן                                        ,310799,19/01/2021,26.7,0
להבות חביבה                                       ,131451,19/01/2021,19.6,0
לטרון מנזר                                        ,242951,19/01/2021,44.3,5
לביא                                              ,213598,19/01/2021,23.5,5
לימן                                              ,110200,19/01/2021,30.1,5
מעלה אדומים                                       ,245464,19/01/2021,27.6,0
מעלה אדומים מאוישת                                ,245463,19/01/2021,27.5,5
מעלה עמוס                                         ,247881,19/01/2021,30.3,0
מעלה גלבוע                                        ,240090,19/01/2021,17.7,0
מעלה גלבוע מאוישת                                 ,240082,19/01/2021,20,5
מעלה החמישה                                       ,243310,19/01/2021,45.9,0
מעש                                               ,136072,19/01/2021,24.1,0
מעברות                                            ,131801,19/01/2021,22.5,0
מעון                                              ,248370,19/01/2021,29,5
מעיין ברוך                                        ,310051,19/01/2021,51.7,5
מעיין צבי                                         ,121651,19/01/2021,18.5,0
מעיין צבי בריכות                                  ,121635,19/01/2021,22.6,0
מגן                                               ,144800,19/01/2021,37.6,0
מגל                                               ,131752,19/01/2021,20.5,0
מחניים                                            ,311450,19/01/2021,27.7,0
מלכייה                                            ,210453,19/01/2021,29.5,0
מסד                                               ,213212,19/01/2021,30.9,0
מסדה                                              ,320901,19/01/2021,14.8,0
משואות יצחק                                       ,141150,19/01/2021,30.6,5
מתת                                               ,211010,19/01/2021,28.8,0
מצובה                                             ,210700,19/01/2021,38.7,0
מי עמי                                            ,122502,19/01/2021,26,0
מפלסים                                            ,143702,19/01/2021,43.5,5
מגידו גן לאומי                                    ,221705,19/01/2021,17.7,0
מחולה                                             ,322102,19/01/2021,17.5,0
מאיר שפיה כפר הנוער                               ,121602,19/01/2021,20,0
מנורים                                            ,213881,19/01/2021,13.2,5
מירב                                              ,240212,19/01/2021,22.1,0
מרחביה מושב                                       ,221521,19/01/2021,13.5,0
מרום גולן פיכמן                                   ,2496028,19/01/2021,47.4,0
מירון צפון                                        ,211605,19/01/2021,39.8,5
משושים                                            ,2492950,19/01/2021,34.9,0
מיתר                                              ,251120,19/01/2021,20.9,5
מטולה                                             ,210062,19/01/2021,48,0
מצר                                               ,131050,19/01/2021,19,0
מצוקי דרגות                                       ,330810,19/01/2021,4.8,0
מבוא חורון                                        ,242772,19/01/2021,42,0
מעיליא                                            ,211152,19/01/2021,26.4,0
מגדל עוז                                          ,247412,19/01/2021,51,5
מגדלים                                            ,241430,19/01/2021,40.5,5
מכמנים                                            ,212840,19/01/2021,35.5,0
מקוה ישראל                                        ,136650,19/01/2021,25.2,0
משגב דב                                           ,138780,19/01/2021,28.5,0
משמר העמק                                         ,221202,19/01/2021,16.8,0
מצפה                                              ,213652,19/01/2021,18.4,0
מצפה יריחו                                        ,243331,19/01/2021,10,0
מזרע                                              ,220850,19/01/2021,17.2,0
מזרע מטעים                                        ,220530,19/01/2021,17,0
מולדת                                             ,221650,19/01/2021,19.3,0
מורשת                                             ,213240,19/01/2021,33.4,5
נחל עמוד עליון                                    ,211782,19/01/2021,44,0
נחל עוז                                           ,143952,19/01/2021,36,5
נחל רותם                                          ,322150,19/01/2021,19.7,0
נחל תנינים                                        ,121870,19/01/2021,15,0
נחלת יהודה                                        ,137020,19/01/2021,23.8,5
נהרייה שכונת רסקו                                 ,110390,19/01/2021,12.8,0
נחשולים מטעים                                     ,121360,19/01/2021,37.3,5
נחשון                                             ,243110,19/01/2021,43.5,0
נחשון מאוישת                                      ,243101,19/01/2021,47,0
נחשונים                                           ,136051,19/01/2021,32.2,0
נטף                                               ,242925,19/01/2021,43,7
נאות מרדכי                                        ,310603,19/01/2021,34,0
נאות סמדר                                         ,259133,19/01/2021,1,0
נגבה                                              ,141747,19/01/2021,34.9,0
נגבה מאוישת                                       ,141746,19/01/2021,35.1,0
נחלים                                             ,135949,19/01/2021,28.7,0
נחושה                                             ,247420,19/01/2021,36,0
נאות סמדר מאוישת                                  ,259132,19/01/2021,0.7,0
נס ציונה                                          ,137502,19/01/2021,46,0
נטעים                                             ,137299,19/01/2021,32,5
נתיב הלה                                          ,247003,19/01/2021,38.2,0
נתיב הלה מאוישת                                   ,247002,19/01/2021,41.1,0
נבטים                                             ,252305,19/01/2021,8.1,0
"נווה אטי""ב                                        ",2488708,19/01/2021,71.1,0
נווה אור                                          ,321301,19/01/2021,16.5,0
נווה יער                                          ,220048,19/01/2021,22.5,0
נווה יער מאוישת                                   ,220049,19/01/2021,22.8,5
נווה צוף                                          ,241640,19/01/2021,51.5,0
נצר סרני                                          ,137549,19/01/2021,35.7,5
מבצר נמרוד                                        ,2488800,19/01/2021,51.6,0
ניר עם                                            ,143453,19/01/2021,47,0
ניר בנים                                          ,141853,19/01/2021,33.8,0
ניר דוד                                           ,230750,19/01/2021,14.2,0
ניר אליהו                                         ,134001,19/01/2021,53.9,0
ניר עציון                                         ,120870,19/01/2021,46,0
ניר עציון שדות                                    ,120860,19/01/2021,39.3,0
ניר גלים                                          ,140050,19/01/2021,23,5
ניר עוז                                           ,144750,19/01/2021,40.9,0
ניר יצחק                                          ,144902,19/01/2021,21.5,0
ניר צבי                                           ,137261,19/01/2021,38.3,0
נירים                                             ,144702,19/01/2021,33,0
ניצן                                              ,140855,19/01/2021,23.4,0
ניצנים קבוץ                                       ,140900,19/01/2021,34.7,0
עפרה                                              ,241933,19/01/2021,45.8,0
עומר                                              ,251599,19/01/2021,22.1,5
אור הנר שדות                                      ,143221,19/01/2021,42,0
אורות                                             ,140818,19/01/2021,42,0
אורטל                                             ,2496261,19/01/2021,40.9,5
פלמחים                                            ,137350,19/01/2021,29,0
פארק הכרמל                                        ,120770,19/01/2021,53,0
פרוד                                              ,212601,19/01/2021,45.7,5
פקיעין                                            ,211401,19/01/2021,32.4,0
פסגות                                             ,242320,19/01/2021,49,0
פצאל                                              ,323255,19/01/2021,13.2,0
קדימה                                             ,132905,19/01/2021,34.5,0
קרני שומרון                                       ,241220,19/01/2021,34.9,0
קדמה                                              ,141255,19/01/2021,32.5,5
קדומים                                            ,241135,19/01/2021,43.5,5
קשת                                               ,2496600,19/01/2021,44.6,0
קבוצת יבנה                                        ,140198,19/01/2021,27.9,0
קבוצת יבנה מאוישת                                 ,140201,19/01/2021,28,0
קריית ענבים                                       ,243501,19/01/2021,52.3,0
קריית טבעון                                       ,214580,19/01/2021,24,0
רם-און                                            ,230521,19/01/2021,11.6,0
רמת דוד                                           ,220350,19/01/2021,17.9,0
רמת הכובש                                         ,133782,19/01/2021,50.3,0
רמת השופט                                         ,121350,19/01/2021,22.4,0
רמת מגשימים                                       ,2494353,19/01/2021,20.4,0
רמת רזיאל                                         ,245005,19/01/2021,47.1,5
רמת צבי                                           ,221633,19/01/2021,19.2,0
רמות                                              ,2320105,19/01/2021,25,0
רעות                                              ,242340,19/01/2021,45.1,0
רגבים                                             ,121900,19/01/2021,27.2,0
רגבה                                              ,110552,19/01/2021,12.4,0
רחובות                                            ,138120,19/01/2021,25.2,0
רבדים                                             ,140300,19/01/2021,38,0
רביבים מאוישת                                     ,252506,19/01/2021,2.2,0
ראשון לציון                                       ,137015,19/01/2021,24.5,0
ראש העין - מקורות                                 ,135160,19/01/2021,26.5,5
ראש הנקרה                                         ,110021,19/01/2021,25.4,0
ראש צורים                                         ,247212,19/01/2021,42.8,0
ראש צורים מאוישת                                  ,247211,19/01/2021,43.2,0
רוחמה                                             ,250250,19/01/2021,27,0
סעד                                               ,144001,19/01/2021,34.2,0
סער                                               ,110351,19/01/2021,15.1,0
אתר ספיר                                          ,320060,19/01/2021,21.3,0
שריד                                              ,220601,19/01/2021,18.6,0
שרונה מושב                                        ,214810,19/01/2021,19.1,0
שדה בוקר                                          ,253010,19/01/2021,1.2,0
שדה בוקר מאוישת                                   ,253000,19/01/2021,1.2,5
שדה אליהו                                         ,321803,19/01/2021,16.6,0
שדה אליהו מאוישת                                  ,321802,19/01/2021,15.6,0
שדה אילן                                          ,214101,19/01/2021,21.3,0
שדה ורבורג                                        ,133871,19/01/2021,43.8,5
שדה יעקב                                          ,220102,19/01/2021,22.8,5
שעלבים                                            ,242550,19/01/2021,44.7,5
שער הגולן                                         ,320850,19/01/2021,16,0
שמיר                                              ,310703,19/01/2021,28.2,0
שני                                               ,251011,19/01/2021,17.4,0
שבי שומרון                                        ,241005,19/01/2021,46,0
שבי ציון                                          ,110521,19/01/2021,12.4,0
שפיים                                             ,133754,19/01/2021,43.9,5
שכניה                                             ,213160,19/01/2021,32.5,0
שלוחות                                            ,230950,19/01/2021,15.7,0
שמורת נחל מערות                                   ,121110,19/01/2021,39.6,0
שילה                                              ,241492,19/01/2021,54.2,0
שובל                                              ,250600,19/01/2021,23.5,0
סוסיה                                             ,248375,19/01/2021,21.4,0
תלמי יפה                                          ,142421,19/01/2021,42.6,0
תלמי יוסף                                         ,144960,19/01/2021,17,0
טלמון                                             ,242010,19/01/2021,52,0
תבור כדורי                                        ,215403,19/01/2021,26.2,0
תפן תעשיות                                        ,211465,19/01/2021,21,5
תל עדשים                                          ,220652,19/01/2021,17.5,0
תל-אביב חוף                                       ,136320,19/01/2021,18.6,0
תל דן                                             ,310120,19/01/2021,48,0
תל חצור                                           ,311208,19/01/2021,22.5,5
תל קציר                                           ,320751,19/01/2021,15.6,0
תל יצחק                                           ,133399,19/01/2021,50,5
תל יוסף                                           ,230457,19/01/2021,14.5,0
תל יוסף מאוישת                                    ,230403,19/01/2021,17,5
טנא עומרים                                        ,248480,19/01/2021,21.3,5
תקומה                                             ,144101,19/01/2021,35,7
תימורים                                           ,141102,19/01/2021,34,5
תמרת                                              ,215051,19/01/2021,21.8,0
טירת צבי                                          ,321850,19/01/2021,17.3,0
תובל                                              ,212696,19/01/2021,33.7,0
אום אל-פחם                                        ,122002,19/01/2021,26,0
אורים                                             ,251550,19/01/2021,28.8,0
אושה                                              ,111699,19/01/2021,33,0
מכון וינגייט                                      ,133260,19/01/2021,21,0
יד חנה                                            ,132551,19/01/2021,35.5,0
יד מרדכי                                          ,143000,19/01/2021,29.1,0
יגור                                              ,120750,19/01/2021,45.8,0
יחד                                               ,213130,19/01/2021,41.2,0
יהודיה                                            ,2311572,19/01/2021,36.9,0
יכיני                                             ,144030,19/01/2021,42.1,0
יקום                                              ,133302,19/01/2021,32.3,0
ירקון גן לאומי                                    ,135010,19/01/2021,28,0
יבנאל                                             ,215454,19/01/2021,17.7,0
יבנאל מאוישת                                      ,215452,19/01/2021,18.1,0
יחיעם                                             ,211350,19/01/2021,21.8,5
יסודות                                            ,243200,19/01/2021,34.9,0
יפתח                                              ,210398,19/01/2021,36.1,0
יראון                                             ,210650,19/01/2021,29.1,5
יודפת                                             ,213173,19/01/2021,41.3,0
יונתן                                             ,2493301,19/01/2021,43.4,5
יטבתה                                             ,345006,19/01/2021,0.5,0
יובלים                                            ,212980,19/01/2021,25.9,0
צאלים                                             ,252296,19/01/2021,12.2,0
צפת הר כנען                                       ,211890,19/01/2021,38.1,0
צפת הר כנען מאוישת                                ,211900,19/01/2021,38.4,0
צמח                                               ,320703,19/01/2021,13.8,0
צמח מאוישת                                        ,320702,19/01/2021,14.5,0
זכרון יעקב                                        ,121702,19/01/2021,17.5,0
זכרון יעקב מאוישת                                 ,121710,19/01/2021,24.1,0
זיקים                                             ,142600,19/01/2021,21,0
צומת הנגב                                         ,252428,19/01/2021,1.3,0
צרעה                                              ,245500,19/01/2021,35.7,0
צובה                                              ,244353,19/01/2021,44.6,0
צובה מאוישת                                       ,244354,19/01/2021,46.5,0
צור הדסה                                          ,246630,19/01/2021,50.7,0
עדנים                                             ,134731,20/01/2021,6.6,0
אפק                                               ,111145,20/01/2021,2.1,0
עפולה ניר העמק                                    ,221604,20/01/2021,1.8,0
עכו                                               ,110695,20/01/2021,9.3,0
אלון הגליל                                        ,213905,20/01/2021,6,5
אלון שבות                                         ,247206,20/01/2021,10.8,0
אלוני הבשן                                        ,2496501,20/01/2021,5,0
אלמגור                                            ,311650,20/01/2021,4,0
עלומים                                            ,144069,20/01/2021,5.9,5
אמירים                                            ,212352,20/01/2021,11.3,5
עמיעד                                             ,212670,20/01/2021,5.7,0
עמיעד קיבוץ                                       ,212651,20/01/2021,7.6,0
עמיקם                                             ,121801,20/01/2021,2.2,0
אמנון                                             ,311700,20/01/2021,4.3,0
ערד                                               ,251569,20/01/2021,9.5,0
ארגמן דרום                                        ,322656,20/01/2021,0.9,0
אריאל מכללה                                       ,241414,20/01/2021,4.1,0
אשלים                                             ,252731,20/01/2021,2.9,0
אשלים שדה חייל מאוישת                             ,252730,20/01/2021,2.4,0
אשדוד חווה                                        ,140150,20/01/2021,4,5
אשדוד נמל                                         ,140025,20/01/2021,2.2,0
אשדות יעקב מאוחד                                  ,321148,20/01/2021,3,0
אשקלון                                            ,141625,20/01/2021,0.5,0
"אשקלון קצא""א                                      ",141940,20/01/2021,5,0
אשקלון נמל                                        ,141942,20/01/2021,4.7,0
עתלית                                             ,120920,20/01/2021,0.5,5
עתלית חב המלח                                     ,120900,20/01/2021,0.3,5
עבדת                                              ,253052,20/01/2021,0.2,0
אבני איתן                                         ,2494552,20/01/2021,7.1,0
איילת השחר                                        ,311206,20/01/2021,5.6,0
איילת השחר מאוישת                                 ,311204,20/01/2021,5.4,0
בניאס שמורה                                       ,310083,20/01/2021,5,7
ברעם - מטעים                                      ,210803,20/01/2021,9.4,0
ברקאי                                             ,130550,20/01/2021,6.3,0
באר שבע                                           ,251691,20/01/2021,8,0
באר טוביה                                         ,140801,20/01/2021,1.1,0
בארי                                              ,144249,20/01/2021,7.3,0
בארות יצחק                                        ,136580,20/01/2021,1.7,5
בארותיים                                          ,132430,20/01/2021,3.4,0
בית ג'ן                                           ,211941,20/01/2021,10,5
בית ג'מל                                          ,246551,20/01/2021,4.6,0
בית ג'מל מאוישת                                   ,246550,20/01/2021,4.6,0
בית ינאי                                          ,131645,20/01/2021,2,0
בן שמן                                            ,137251,20/01/2021,1.7,0
בני דרום                                          ,140101,20/01/2021,4.4,0
בני דרור                                          ,133200,20/01/2021,2,0
בני יהודה                                         ,2494661,20/01/2021,6.4,0
ברכה                                              ,241145,20/01/2021,4.3,0
בשור חווה                                         ,144873,20/01/2021,10.4,7
בשור חווה מאוישת                                  ,144872,20/01/2021,10.4,0
בית אלפא                                          ,230703,20/01/2021,3,0
בית אריה                                          ,241521,20/01/2021,2.5,0
בית דגן                                           ,136741,20/01/2021,0.7,0
בית דגן מאוישת                                    ,136739,20/01/2021,0.6,0
בית גוברין                                        ,247550,20/01/2021,1.9,0
בית הערבה                                         ,330210,20/01/2021,1.5,0
בית העמק                                          ,110600,20/01/2021,3,0
בית השיטה                                         ,230453,20/01/2021,0.1,0
בית חלקיה                                         ,139000,20/01/2021,3.5,0
בית לחם הגלילית                                   ,214252,20/01/2021,4,7
בית מאיר                                          ,243798,20/01/2021,3.8,0
בית ניר                                           ,247251,20/01/2021,7,0
בית אורן                                          ,120800,20/01/2021,1.6,0
בית קמה                                           ,250398,20/01/2021,12.9,0
בית קשת                                           ,214701,20/01/2021,4.6,0
בית רימון                                         ,213681,20/01/2021,5.3,5
בית יצחק                                          ,132475,20/01/2021,4,0
בית ציידה                                         ,311660,20/01/2021,2.6,0
בית זרע                                           ,320801,20/01/2021,2.3,0
בנימינה                                           ,130011,20/01/2021,7.5,0
בנימינה מערב                                      ,130020,20/01/2021,6.4,0
דפנה                                              ,310098,20/01/2021,5.5,0
דפנה מאוישת                                       ,310093,20/01/2021,5.6,0
דאלית אל-כרמל                                     ,121030,20/01/2021,3,0
דלייה                                             ,121500,20/01/2021,5.2,0
דברת                                              ,216050,20/01/2021,1.9,0
דגניה א'                                          ,320502,20/01/2021,4.5,0
דגניה ב'                                          ,320650,20/01/2021,4.8,0
דייר חנא                                          ,213054,20/01/2021,7,0
דייר חנא מאוישת                                   ,213052,20/01/2021,6,0
דורות                                             ,250156,20/01/2021,3.9,0
דורות מאוישת                                      ,250151,20/01/2021,4,5
חוות עדן                                          ,231001,20/01/2021,2.8,0
אפרתה                                             ,247220,20/01/2021,12.3,0
עיילבון                                           ,213201,20/01/2021,14,0
אלעזר                                             ,247215,20/01/2021,11.9,0
אל -רום                                           ,2489600,20/01/2021,6.5,0
עלי                                               ,241487,20/01/2021,5.2,0
אליאב                                             ,248010,20/01/2021,8.6,0
אילון                                             ,210753,20/01/2021,7.2,0
אילון מאוישת                                      ,210748,20/01/2021,7.4,0
אלקנה                                             ,241381,20/01/2021,5.3,0
עין גדי מרחצאות                                   ,331210,20/01/2021,2.5,0
עין החורש                                         ,131598,20/01/2021,2.9,0
עין החורש מאוישת                                  ,131599,20/01/2021,3,0
עין המפרץ                                         ,110951,20/01/2021,4,0
עין חרוד איחוד                                    ,230253,20/01/2021,0.2,0
עין חרוד מאוחד                                    ,230300,20/01/2021,0.3,0
עין השופט                                         ,121541,20/01/2021,1.6,0
עין השופט  קיבוץ                                  ,121550,20/01/2021,4,0
עין השופט מאוישת                                  ,121540,20/01/2021,1.5,0
עין כרמל                                          ,121056,20/01/2021,0.5,0
עין כרמל מאוישת                                   ,121051,20/01/2021,0.6,0
עין צורים                                         ,141350,20/01/2021,0.8,0
עינת                                              ,135496,20/01/2021,1,0
עינות צוקים                                       ,330455,20/01/2021,0.5,5
ארז                                               ,143160,20/01/2021,7.2,0
אשחר                                              ,212846,20/01/2021,5.4,0
עברון                                             ,110502,20/01/2021,4.7,0
אייל                                              ,133850,20/01/2021,2.3,0
פסוטה                                             ,210902,20/01/2021,10,0
געש                                               ,133649,20/01/2021,1.4,0
גדות                                              ,311251,20/01/2021,4,0
גלעד                                              ,121852,20/01/2021,1.9,0
גלעד מאוישת                                       ,121851,20/01/2021,2,0
גלאון                                             ,247449,20/01/2021,2,5
גמלא                                              ,2493350,20/01/2021,6.7,0
גמלא מאוישת                                       ,2493330,20/01/2021,6.7,7
גן השומרון                                        ,130850,20/01/2021,6,0
גן שלמה                                           ,138250,20/01/2021,2.5,0
גן שמואל                                          ,131002,20/01/2021,2,0
גת                                                ,142303,20/01/2021,1.6,0
גת מאוישת                                         ,142302,20/01/2021,1.7,0
גזית                                              ,216101,20/01/2021,2.5,0
גשר                                               ,321250,20/01/2021,1.8,0
גברעם                                             ,142898,20/01/2021,6.5,0
גבים                                              ,143750,20/01/2021,3,5
גבולות                                            ,252200,20/01/2021,8.6,5
גלגל                                              ,323403,20/01/2021,3.4,0
גלגל מאוישת                                       ,323402,20/01/2021,4,0
גיניגר                                            ,220550,20/01/2021,5,0
גינוסר                                            ,320099,20/01/2021,7.8,0
גיתית                                             ,241296,20/01/2021,4,0
גבעת ברנר                                         ,138401,20/01/2021,2.5,0
גבעת עוז                                          ,221751,20/01/2021,7.2,0
חדרה נמל                                          ,130970,20/01/2021,2.6,0
חדרה תחנת הכח                                     ,130981,20/01/2021,1.3,0
חפץ חיים                                          ,138946,20/01/2021,3.7,0
חפץ חיים מאוישת                                   ,138947,20/01/2021,3.6,5
הגושרים                                           ,310191,20/01/2021,6.3,0
חיפה נמל מאוישת                                   ,120202,20/01/2021,2.2,0
חיפה בתי זיקוק                                    ,111510,20/01/2021,4.1,0
חיפה טכניון                                       ,120530,20/01/2021,2.9,0
חיפה אוניברסיטה                                   ,120629,20/01/2021,2.3,0
חיפה אוניברסיטה מאוישת                            ,120630,20/01/2021,2.5,5
הכפר הירוק                                        ,134840,20/01/2021,1.2,0
חמדיה                                             ,230601,20/01/2021,0.2,5
חניתה                                             ,210502,20/01/2021,7.2,0
האון                                              ,320350,20/01/2021,3.5,0
הר חרשה                                           ,241960,20/01/2021,6.3,0
הררית                                             ,213119,20/01/2021,10.5,0
חרשים                                             ,212171,20/01/2021,8.4,0
חרשים מאוישת                                      ,212168,20/01/2021,8.5,0
הרדוף                                             ,213775,20/01/2021,5.6,0
חי בר כרמל                                        ,120570,20/01/2021,1.5,0
היוגב                                             ,221252,20/01/2021,2.9,0
חצור אשדוד                                        ,140249,20/01/2021,1.9,0
הזורעים                                           ,214202,20/01/2021,5,0
הזורע                                             ,220901,20/01/2021,2,0
הרצליה ב'                                         ,134110,20/01/2021,3.2,0
חורשים                                            ,134804,20/01/2021,5.3,0
חולה שמורה                                        ,311070,20/01/2021,4.7,0
חולדה                                             ,243150,20/01/2021,1.5,0
חוקוק                                             ,212950,20/01/2021,7.5,0
חורפיש                                            ,211251,20/01/2021,7.5,0
חורפיש מרכז                                       ,211253,20/01/2021,9.8,0
אכסאל                                             ,215701,20/01/2021,4,7
איתמר                                             ,241260,20/01/2021,4.3,0
איתמר מאוישת                                      ,241181,20/01/2021,7.3,0
ג'ת                                               ,131282,20/01/2021,5.4,0
ירושלים מרכז                                      ,244731,20/01/2021,8.2,0
ירושלים גבעת רם                                   ,245782,20/01/2021,6.4,0
ירושלים רמות                                      ,243530,20/01/2021,8,5
ירושלים סט. אן                                    ,244850,20/01/2021,10.8,0
כברי                                              ,211100,20/01/2021,7.9,0
כאוכב                                             ,213221,20/01/2021,4.9,0
כרמי צור                                          ,247680,20/01/2021,3.3,0
כרמל                                              ,248360,20/01/2021,12.3,0
כרמל מטעים                                        ,251013,20/01/2021,13.7,0
כרמייה                                            ,142802,20/01/2021,8.5,0
"כפר ביל""ו                                         ",138280,20/01/2021,2.3,0
כפר בלום                                          ,310552,20/01/2021,3.6,0
כפר עציון                                         ,247370,20/01/2021,10.1,0
כפר גדעון                                         ,220981,20/01/2021,2.5,0
כפר גלעדי                                         ,210160,20/01/2021,11.3,0
כפר גלעדי מאוישת                                  ,210151,20/01/2021,9.2,0
כפר גליקסון                                       ,122097,20/01/2021,5.2,0
כפר המכבי                                         ,111650,20/01/2021,4.5,0
כפר הנשיא                                         ,311501,20/01/2021,3.8,0
כפר הרואה                                         ,131502,20/01/2021,3,0
כפר חסידים                                        ,111800,20/01/2021,3,0
כפר הס                                            ,133500,20/01/2021,1.8,0
כפר חיטים                                         ,213451,20/01/2021,13.8,0
כפר מסריק                                         ,111001,20/01/2021,2.8,0
כפר מנחם                                          ,140852,20/01/2021,1.4,0
כפר נחום                                          ,311656,20/01/2021,5.2,0
כפר נחום מאוישת                                   ,311655,20/01/2021,5.2,7
כפר פינס                                          ,130502,20/01/2021,7.7,0
כפר ראש הנקרה                                     ,110050,20/01/2021,8.2,0
כפר רופין                                         ,321701,20/01/2021,3,0
כפר שמריהו                                        ,134101,20/01/2021,4,7
כפר סומיע                                         ,211472,20/01/2021,6.5,0
